iter	Passed	Remaining
0	46	4571
1	63	3116
2	71	2306
3	79	1908
4	87	1671
5	98	1542
6	106	1417
7	120	1380
8	130	1321
9	141	1269
10	155	1257
11	186	1367
12	221	1482
13	260	1597
14	292	1656
15	310	1627
16	331	1620
17	348	1585
18	370	1581
19	390	1560
20	418	1572
21	441	1565
22	475	1592
23	508	1608
24	539	1617
25	570	1624
26	608	1645
27	646	1663
28	677	1658
29	725	1691
30	767	1708
31	809	1719
32	829	1683
33	853	1657
34	904	1680
35	942	1674
36	977	1663
37	1005	1640
38	1013	1584
39	1020	1531
40	1028	1479
41	1036	1431
42	1044	1383
43	1054	1341
44	1062	1298
45	1075	1262
46	1083	1222
47	1096	1187
48	1110	1155
49	1127	1127
50	1151	1106
51	1171	1081
52	1204	1068
53	1219	1038
54	1232	1008
55	1253	985
56	1265	954
57	1289	933
58	1316	914
59	1338	892
60	1356	867
61	1378	844
62	1403	824
63	1414	795
64	1431	770
65	1449	746
66	1483	730
67	1521	716
68	1559	700
69	1596	684
70	1626	664
71	1646	640
72	1673	619
73	1705	599
74	1726	575
75	1738	548
76	1756	524
77	1768	498
78	1800	478
79	1831	457
80	1845	432
81	1897	416
82	1940	397
83	1977	376
84	1996	352
85	2004	326
86	2012	300
87	2020	275
88	2028	250
89	2037	226
90	2048	202
91	2067	179
92	2081	156
93	2098	133
94	2111	111
95	2124	88
96	2141	66
97	2153	43
98	2167	21
99	2179	0
