iter	Logloss
0	0.6773878138
1	0.6648112584
2	0.6550894479
3	0.6472025625
4	0.6403039354
5	0.6345612802
6	0.6303797431
7	0.62617521
8	0.6226620057
9	0.6200619961
10	0.6178588893
11	0.6163432524
12	0.6142371348
13	0.612561706
14	0.6111970139
15	0.6100216392
16	0.6088941378
17	0.6080878854
18	0.6073183037
19	0.6066306895
20	0.6060401021
21	0.6054808783
22	0.6049178876
23	0.6043390174
24	0.6036075656
25	0.6031615683
26	0.602564999
27	0.6020906642
28	0.6015703639
29	0.6011779538
30	0.6007381302
31	0.6005085233
32	0.6001321603
33	0.5997198764
34	0.5993002131
35	0.5988953407
36	0.5984474319
37	0.5979752858
38	0.5975150776
39	0.5970968442
40	0.5967542417
41	0.5961566388
42	0.5956427906
43	0.5952552737
44	0.5949482823
45	0.5945115222
46	0.5941317204
47	0.5937436058
48	0.5933754324
49	0.5929730427
50	0.5925315081
51	0.5922257949
52	0.5917688989
53	0.5914862763
54	0.5912477955
55	0.5908758844
56	0.5905497805
57	0.5902288041
58	0.5898768835
59	0.5894871241
60	0.589028404
61	0.588676981
62	0.5883578309
63	0.5879232408
64	0.5874382969
65	0.5870981549
66	0.5867566213
67	0.5863138978
68	0.5859535126
69	0.5857659241
70	0.585200284
71	0.584701187
72	0.5842488957
73	0.5837566073
74	0.583256211
75	0.5829267746
76	0.5825024615
77	0.5821644489
78	0.5819270643
79	0.5816433129
80	0.5812270884
81	0.580896413
82	0.5805729979
83	0.580193361
84	0.5796849837
85	0.5791966817
86	0.5788119971
87	0.5785030878
88	0.5782230947
89	0.5779984271
90	0.5776744885
91	0.5771995098
92	0.5768904913
93	0.57662522
94	0.5761578026
95	0.5758236685
96	0.5754719682
97	0.5751336865
98	0.5748713144
99	0.5744243237
