iter	Passed	Remaining
0	33	3301
1	52	2557
2	60	1959
3	69	1675
4	80	1536
5	92	1446
6	101	1352
7	163	1874
8	235	2381
9	282	2546
10	295	2393
11	304	2230
12	312	2092
13	322	1980
14	332	1881
15	342	1797
16	356	1738
17	370	1685
18	385	1643
19	400	1601
20	424	1596
21	458	1626
22	486	1628
23	521	1651
24	560	1681
25	590	1681
26	635	1717
27	686	1764
28	724	1774
29	746	1741
30	762	1696
31	780	1658
32	804	1634
33	859	1669
34	893	1658
35	926	1647
36	959	1633
37	998	1629
38	1035	1618
39	1059	1589
40	1093	1573
41	1110	1533
42	1140	1511
43	1174	1495
44	1201	1467
45	1234	1449
46	1274	1437
47	1313	1423
48	1344	1399
49	1369	1369
50	1387	1332
51	1406	1298
52	1435	1273
53	1461	1244
54	1481	1212
55	1507	1184
56	1563	1179
57	1600	1159
58	1639	1139
59	1648	1099
60	1659	1060
61	1669	1022
62	1677	985
63	1686	948
64	1695	912
65	1704	878
66	1717	845
67	1725	812
68	1736	780
69	1750	750
70	1764	720
71	1790	696
72	1811	670
73	1826	641
74	1840	613
75	1870	590
76	1895	566
77	1928	543
78	1969	523
79	1996	499
80	2036	477
81	2080	456
82	2113	432
83	2153	410
84	2218	391
85	2268	369
86	2325	347
87	2362	322
88	2408	297
89	2465	273
90	2495	246
91	2519	219
92	2574	193
93	2608	166
94	2648	139
95	2663	110
96	2673	82
97	2682	54
98	2695	27
99	2708	0
